dimemployee_fullname,dimemployee_firstname,finishedgoodsflag,dimreseller_ordermonth,factsales_freight,factsales_currencykey,dimdate_monthnumberofyear,productalternatekey,dimreseller_lastorderyear,dimgeography_city,dimsalesterritory_salesterritorykey,dimdate_monthname,dimreseller_yearopened,factsales_orderquantity,productsubcategoryname,dimemployee_gender,productsubcategoryalternatekey,dimdate_fiscalyear,dimemployee_salariedflag,factsales_extendedamount,factsales_ordertime,factsales_productstandardcost,dimreseller_businesstype,factsales_salesorderlinenumber,startdate,dimreseller_resellername_it,dimdate_daynumberofweek,dimgeography_latlong,factsales_productkey,enddate,productsubcategorykey,factsales_unitprice,dimdate_daynumberofyear,dimdate_calendaryear,dimemployee_title,sizeunitmeasurecode,dimreseller_resellerkey,surveyresponse,dimgeography_stateprovincename,dimreseller_addresslineone,dimgeography_countryregionname,dimemployee_maritalstatus,productline,dimemployee_status,dimdate_fulldatealternatekey,dimdate_fiscalsemester,dimreseller_bankname_it,dimgeography_stateprovincecode,productname_es,dimreseller_resellername,dimemployee_birthdate,dimdate_daynumberofmonth,dimemployee_phone,dimgeography_countryregioncode,dimgeography_latlong_geo_subregion,listprice,reorderpoint,dimgeography_latlong_geo_country,dimemployee_employeekey,dimemployee_lastname,productcategoryname,dimdate_fiscalquarter,dimemployee_employeenationalidalternatekey,dimgeography_latlong_geo_postcode,dimreseller_annualsales,dimreseller_minpaymentamount,factsales_salesamount,factsales_salesterritorykey,factsales_taxamt,dimdate_calendarquarter,safetystocklevel,daystomanufacture,dimgeography_latlong_geo_subregionid,factsales_totalproductcost,dimreseller_geographykey,description,dimemployee_emailaddress,dimemployee_salespersonflag,dimemployee_salesterritorykey,factsales_discountamount,dimreseller_productline,dimsalesterritory_salesterritorycountry,dimreseller_addresslinetwo,dimdate_weeknumberofyear,dimreseller_phone,factsales_shipdatekey,factsales_recordspec,factsales_employeekey,dimgeography_latlong_geo_city,d,status,class,dealerprice,factsales_salesordernumber,productname_zh_tw,size,dimsalesterritory_salesterritoryregion,dimreseller_bankname_de,dimreseller_bankname_zh_cn,factsales_carriertrackingnumber,standardcost,dimdate_daynameofweek,dimreseller_minpaymenttype,productcategorykey,productcategoryalternatekey,dimreseller_annualrevenue,factsales_revisionnumber,factsales_orderdatekey,modelname,weight,dimgeography_salesterritorykey,dimsalesterritory_salesterritorygroup,factsales_resellerkey,factsales_shiptime,dimemployee_baserate,factsales_unitpricediscountpct,factsales_duedatekey,factsales_orderduration_duration,style,dimreseller_orderfrequency,dimreseller_firstorderyear,dimemployee_startdate,dimemployee_currentflag,dimgeography_latlong_geo_region,dimgeography_latlong_geo_regionid,productname_it,dimdate_calendarsemester,dimemployee_departmentname,productname,factsales_promotionkey,dimreseller_numberemployees,weightunitmeasurecode,dimgeography_postalcode,factsales_customerponumer,sizerange,dimemployee_hiredate,dimreseller_bankname,dimgeography_geographykey,dimemployee_middlename,color,dimreseller_reselleralternatekey,productcategory,dimdate_datekey
Michael G Blythe,Michael,,4,0.5047,100,1,HL-U509-R,2007,Euclid,2,January,1984,1,Helmets,M,31,2006,1,20.1865,11:36:21.000Z,12.0278,Warehouse,2,,Universo Curbside,1,41.586749 -81.54584,212,,31,20.1865,1,2006,Sales Representative,,269,,Ohio,25264 E. 260th,United States,S,,Current,00:00.,2,Primaria Internazionale [it],OH,AWC Logo Tapa [es],Curbside Universe,00:00.,1,257-555-0154,US,Cuyahoga County,,,US,281,Blythe,Accessories,Q3,841560125,44123,3000000,,20.1865,2,1.6149,1,,,5151606,12.0278,527,,michael9@advent,1,2,0,Road,United States,,1,131-555-0171,38:05.,SO45067-2,281,Euclid,dimreseller_businesstype_ja,,,,SO45067,productname_zh_tw,,Northeast,Prim?r International [de],dimreseller_bankname_zh_cn,59F9-45DB-B4,,Sunday,,4,4,300000,1,36:21.,,,2,North America,269,06:38:05.000Z,23.0769,0,00:00.,673304000,,Q,2005,00:00.,1,Ohio,5165418,AWC Logo Berretto [it],1,Sales,Sport-100 Helmet,1,82,,44119,PO4959186788,,00:00.,Primary International,527,G,,AW00000269,31,00:00.
Shu K Ito,Shu,,6,10.1166,100,12,FR-R38R-44,2007,Santa Monica,4,December,1999,2,Road Frames,M,14,2007,1,404.664,18:59:00.000Z,187.1571,Warehouse,15,,Bicicletta Merchandise Magazzino,6,34.01491 -118.4922,263,,14,202.332,335,2006,Sales Representative,CM ,239,,California,409 Santa Monica Blvd.,United States,M,,Current,00:00.,1,Bancario Internazionale [it],CA,LL Carretera Marco - Rojo [es],Bicycle Merchandise Warehouse,00:00.,1,330-555-0120,US,Los Angeles County,,,US,287,Ito,Components,Q2,139397894,90401,3000000,600,404.664,4,32.3731,4,,,5368381,374.3142,369,,shu0@adventure-,1,4,0,Road,United States,,49,529-555-0195,44:05.,SO48311-15,287,Santa Monica,dimreseller_businesstype_ja,,,,SO48311,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,AAD7-4EBC-A1,,Friday,3,2,2,300000,1,59:00.,,,4,North America,239,00:44:05.000Z,23.0769,0,00:00.,625505000,,Q,2006,00:00.,1,California,5332921,ML Strada Telaio - Rosso [it],2,Sales,LL Road Frame - Red,1,58,LB ,90401,PO16472177233,,00:00.,International Bank,369,K,,AW00000239,14,00:00.
Linda C Mitchell,Linda,,6,31.0713,100,9,BK-M68S-38,2007,Bell Gardens,4,September,1980,1,Mountain Bikes,F,1,2007,1,1242.8518,21:01:27.000Z,1117.8559,Specialty Bike Shop,1,,Economia Bikes Societ??,6,33.972814 -118.17385,352,,1,1242.8518,244,2006,Sales Representative,CM ,168,,California,72502 Eastern Ave.,United States,M,,Current,00:00.,1,Riserva di Sicurezza [it],CA,,Economy Bikes Company,00:00.,1,883-555-0116,US,Los Angeles County,,,US,282,Mitchell,Bikes,Q1,191644724,90270,1500000,,1242.8518,4,99.4281,3,,,5368381,1117.8559,297,,linda3@adventur,1,4,0,Mountain,United States,,36,688-555-0113,04:36.,SO47408-1,282,Bell,dimreseller_businesstype_ja,,,,SO47408,productname_zh_tw,,Southwest,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,BB3E-461D-BA,,Friday,2,1,1,150000,1,01:27.,,,4,North America,168,07:04:36.000Z,23.0769,0,00:00.,640989000,,A,2006,00:00.,1,California,5332921,,2,Sales,Mountain-200 Silver,1,43,LB ,90201,PO812144626,,00:00.,Reserve Security,297,C,,AW00000168,1,00:00.
Jos Edvaldo Saraiva,Jos,,4,1.1021,98,1,GL-H102-S,2008,Milton Keynes,10,January,1974,3,Gloves,M,20,2008,1,44.082,01:02:04.000Z,9.1593,Warehouse,3,,Mostra Showroom,3,,463,,20,14.694,1,2008,Sales Representative,,196,,England,"Garamonde Drive, Wymbush",United Kingdom,M,,Current,00:00.,2,Riserva di Sicurezza [it],ENG,,Exhibition Showroom,00:00.,1,185-555-0169,GB,,,,,288,Saraiva,Clothing,Q3,399771412,,3000000,1000,44.082,10,3.5266,1,,,,27.4779,260,,jos?adventure,1,6,0,Mountain,United Kingdom,P.O. Box 803,1,1 (11) 500 555-0126,06:28.,SO61229-3,288,,dimreseller_businesstype_ja,,,,SO61229,productname_zh_tw,,United Kingdom,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,AC88-46DA-A3,,Tuesday,3,3,3,300000,1,02:04.,,,10,Europe,196,11:06:28.000Z,23.0769,0,00:00.,554664000,,Q,2007,00:00.,1,,,,1,Sales,Half-Finger Gloves,1,94,,MK8 8ZD,PO10324197030,,00:00.,Reserve Security,260,Edvaldo,,AW00000196,20,00:00.
Linda C Mitchell,Linda,,5,10.1166,100,8,FR-R38B-60,2008,Camarillo,4,August,1986,2,Road Frames,F,14,2008,1,404.664,07:04:43.000Z,204.6251,Warehouse,4,,Big-Time Bike Store,4,34.231754 -119.05258,258,,14,202.332,213,2007,Sales Representative,CM ,529,,California,9909 W. Ventura Boulevard,United States,M,,Current,00:00.,1,Uniti Sicurezza [it],CA,LL Carretera Marco - Rojo [es],Big-Time Bike Store,00:00.,1,883-555-0116,US,Ventura County,,,US,282,Mitchell,Components,Q1,191644724,93010,3000000,,404.664,4,32.3731,3,,,5405889,409.2502,303,,linda3@adventur,1,4,0,Road,United States,,31,669-555-0149,03:36.,SO51849-4,282,Camarillo,dimreseller_businesstype_ja,,,,SO51849,productname_zh_tw,,Southwest,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,E697-4968-AD,,Wednesday,,2,2,300000,1,04:43.,,,4,North America,529,03:03:36.000Z,23.0769,0,00:00.,590333000,,Q,2006,00:00.,1,California,5332921,LL Strada Telaio - Rosso [it],2,Sales,LL Road Frame - Black,1,96,LB ,93010,PO2320117582,,00:00.,United Security,303,C,,AW00000529,14,00:00.
Shu K Ito,Shu,,6,152.9996,100,3,BK-M82S-44,2006,Rio Rancho,4,March,1998,3,Mountain Bikes,M,1,2006,1,6119.982,20:24:33.000Z,1912.1544,Warehouse,1,,Giocattoli sicuri,4,35.290647 -106.71469,346,,1,2039.994,60,2006,Sales Representative,CM ,581,,New Mexico,49925 Crestview Drive N.E.,United States,M,,Current,00:00.,2,Riserva di Sicurezza [it],NM,,Safe Toys,00:00.,1,330-555-0120,US,Sandoval County,,,US,287,Ito,Bikes,Q3,139397894,87124,3000000,1000,6119.982,4,489.5986,1,,,5490135,5736.4632,506,,shu0@adventure-,1,4,0,Mountain,United States,,9,329-555-0183,49:17.,SO45534-1,287,Rio Rancho,dimreseller_businesstype_ja,,,,SO45534,productname_zh_tw,,Southwest,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,F5A4-4CEE-97,,Wednesday,3,1,1,300000,1,24:33.,,,4,North America,581,01:49:17.000Z,23.0769,0,00:00.,624284000,,Q,2005,00:00.,1,New Mexico,5481136,,1,Sales,Mountain-100 Silver,1,73,LB ,87124,PO14964111594,,00:00.,Reserve Security,506,K,,AW00000581,1,00:00.
Pamela O Ansman-Wolfe,Pamela,TRUE,6,1.7991,100,9,PU-0452,2008,Bellevue,1,September,1998,6,Pumps,F,36,2007,1,71.964,23:56:24.000Z,8.2459,Warehouse,48,,Cassetta di sicurezza Cicli Negozio,6,47.618371 -122.20308,448,,36,11.994,244,2006,Sales Representative,,254,,Washington,25915 140th Ave Ne,United States,S,S ,Current,00:00.,1,Sicurezza Internazionale [it],WA,,Safe Cycles Shop,00:00.,1,340-555-0193,US,King County,19.99,3,US,286,Ansman-Wolfe,Accessories,Q1,61161660,98004,3000000,,71.964,1,5.7571,3,4,0,5799783,49.4754,608,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,pamela0@adventu,1,1,0,Mountain,United States,,36,449-555-0176,30:19.,SO47403-48,286,Bellevue,dimreseller_businesstype_ja,,,11.994,SO47403,productname_zh_tw,,Northwest,International Sicherheit [de],dimreseller_bankname_zh_cn,60A2-4F08-8B,8.2459,Friday,,4,4,300000,1,56:24.,Minipump,,1,North America,254,02:30:19.000Z,23.0769,0,00:00.,614035000,,Q,2006,00:00.,1,Washington,5815135,,2,Sales,Minipump,1,73,,98004,PO841143108,NA,00:00.,International Security,608,O,NA,AW00000254,36,00:00.
Michael G Blythe,Michael,,6,61.4729,100,6,BK-M68B-42,2008,Garland,4,June,1972,2,Mountain Bikes,M,1,2007,1,2458.9178,08:41:34.000Z,1105.81,Warehouse,2,,Vernice di alimentazione,6,32.920574 -96.62639,360,,1,1229.4589,152,2007,Sales Representative,CM ,75,,Texas,Corporate Office,United States,S,,Current,00:00.,2,Primaria Banca e Riserva [it],TX,Monta?a-200 Negro [es],Paint Supply,00:00.,1,257-555-0154,US,Dallas County,,,US,281,Blythe,Bikes,Q4,841560125,75045,3000000,1000,2458.9178,4,196.7134,2,,,4684904,2211.62,580,,michael9@advent,1,2,0,Mountain,United States,,23,358-555-0188,04:53.,SO50747-2,281,Garland,dimreseller_businesstype_ja,,,,SO50747,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,A59F-46DA-BE,,Friday,3,1,1,300000,1,41:34.,,,4,North America,75,15:04:53.000Z,23.0769,0,00:00.,627799000,,Q,2005,00:00.,1,Texas,4736286,Montagna-300 Nero [it],1,Sales,Mountain-200 Black,1,90,LB ,75040,PO5597196496,,00:00.,Primary Bank & Reserve,580,G,,AW00000075,1,00:00.
Linda C Mitchell,Linda,,4,122.3892,100,4,BK-R50R-60,2008,Longmont,3,April,1974,11,Road Bikes,F,2,2007,1,4995.4762,00:31:01.000Z,486.7066,Warehouse,40,,Distributori Sport Futuristico,1,40.171484 -105.10033,323,,2,454.1342,91,2007,Sales Representative,CM ,523,,Colorado,5525 South Hover Road,United States,M,,Current,00:00.,2,Primaria Banca e Riserva [it],CO,Carretera-650 Rojo [es],Futuristic Sport Distributors,00:00.,1,883-555-0116,US,Boulder County,,,US,282,Mitchell,Bikes,Q4,191644724,80501,3000000,,4895.5667,3,391.6453,2,,,5574999,5353.7726,389,,linda3@adventur,1,4,99.9095,Road,United States,,14,149-555-0196,04:16.,SO49893-40,282,Longmont,dimreseller_businesstype_ja,,,,SO49893,productname_zh_tw,,Central,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,99ED-4EEC-9C,,Sunday,1,1,1,300000,1,31:01.,,,3,North America,523,17:04:16.000Z,23.0769,0.02,00:00.,577995000,,Q,2006,00:00.,1,Colorado,5417618,Strada-650 Rosso [it],1,Sales,Road-650 Red,2,94,LB ,80501,PO8787173621,,00:00.,Primary Bank & Reserve,389,C,,AW00000523,2,00:00.
Jos Edvaldo Saraiva,Jos,,4,25.5149,98,7,BK-R79Y-48,2008,Reading,10,July,1982,1,Road Bikes,M,2,2008,1,1020.594,13:37:31.000Z,1082.51,Specialty Bike Shop,4,,Number One Bike Co.,1,,583,,2,1020.594,182,2007,Sales Representative,CM ,286,,England,"Elmhurst Road, Goring",United Kingdom,M,,Current,00:00.,1,Custode Della Banca [it],ENG,Carretera-350-W Amarillo [es],Number One Bike Co.,00:00.,1,185-555-0169,GB,,,,,288,Saraiva,Bikes,Q1,399771412,,1500000,,1020.594,10,81.6475,3,,,,1082.51,266,,jos?adventure,1,6,0,Road,United Kingdom,,27,1 (11) 500 555-0169,14:22.,SO51135-4,288,,dimreseller_businesstype_ja,,,,SO51135,productname_zh_tw,,United Kingdom,Vormund Bank [de],dimreseller_bankname_zh_cn,1F8A-4FBE-9A,,Sunday,1,1,1,150000,1,37:31.,,,10,Europe,286,20:14:22.000Z,23.0769,0,00:00.,628611000,,A,2006,00:00.,1,,,Turismo-3000 Blu [it],2,Sales,Road-350-W Yellow,1,40,LB ,RG7 5H7,PO14355154105,,00:00.,Guardian Bank,266,Edvaldo,,AW00000286,2,00:00.
Jos Edvaldo Saraiva,Jos,TRUE,6,1.8221,98,6,PD-M282,2008,London,10,June,1983,3,Pedals,M,13,2008,1,72.882,20:17:32.000Z,17.9776,Warehouse,13,,Metropolitan biciclette alimentazione,1,,542,,13,24.294,153,2008,Sales Representative,,502,,England,Paramount House,United Kingdom,M,M ,Current,00:00.,2,Primaria Banca e Riserva [it],ENG,,Metropolitan Bicycle Supply,00:00.,1,185-555-0169,GB,,40.49,375,,288,Saraiva,Components,Q4,399771412,,3000000,,72.882,10,5.8306,2,500,1,,53.9328,254,Expanded platform so you can ride in any shoes; great for all-around riding.,jos?adventure,1,6,0,Mountain,United Kingdom,,23,1 (11) 500 555-0177,21:33.,SO71936-13,288,,dimreseller_businesstype_ja,,L ,24.294,SO71936,productname_zh_tw,,United Kingdom,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,95F1-4758-A0,17.9776,Sunday,2,2,2,300000,1,17:32.,LL Mountain Pedal,218,10,Europe,502,14:21:33.000Z,23.0769,0,00:00.,583441000,,Q,2006,00:00.,1,,,,1,Sales,LL Mountain Pedal,1,87,G  ,W1N 9FA,PO8671170385,NA,00:00.,Primary Bank & Reserve,254,Edvaldo,Silver/Black,AW00000502,13,00:00.
Shu K Ito,Shu,,5,3.1491,100,8,HL-U509,2008,Carson,4,August,1987,6,Helmets,M,31,2008,1,125.964,09:23:17.000Z,13.0863,Value Added Reseller,32,,Bike Shop pi?? interna,4,33.857416 -118.25633,217,,31,20.994,213,2007,Sales Representative,,167,"The mountain frame equipment was great, I do with you had a better selection of Urban bike parts and components, but for my Mountain rides things are working fine.  The rep was friendly and knowledgeable, if a bit overloaded with multiple clients- please get him some help! The one issue I have to complain about is a greater selection of clothes. The Izumi Pearl and Sugoi line's were very limited- particularly gloves. I am trying a small even though I am usually a medium.  Anyway thanks- I look forward to seeing you again. ",California,99000 S. Avalon Blvd. Suite 750,United States,M,,Current,00:00.,1,Custode Della Banca [it],CA,AWC Logo Tapa [es],Farthermost Bike Shop,00:00.,1,330-555-0120,US,Los Angeles County,,,US,287,Ito,Accessories,Q1,139397894,90502,300000,,125.964,4,10.0771,3,,,5368381,78.5178,305,,shu0@adventure-,1,4,0,Road,United States,,31,156-555-0187,59:58.,SO51773-32,287,Carson,dimreseller_businesstype_ja,,,,SO51773,productname_zh_tw,,Southwest,Vormund Bank [de],dimreseller_bankname_zh_cn,14B1-48BF-A0,,Wednesday,1,4,4,30000,1,23:17.,,,4,North America,167,05:59:58.000Z,23.0769,0,00:00.,679001000,,S,2005,00:00.,1,California,5332921,AWC Logo Berretto [it],2,Sales,Sport-100 Helmet,1,7,,90746,PO2523163173,,00:00.,Guardian Bank,305,K,,AW00000167,31,00:00.
Shu K Ito,Shu,,4,0.5047,100,7,HL-U509-B,2008,Modesto,4,July,1982,1,Helmets,M,31,2006,1,20.1865,03:04:25.000Z,12.0278,Value Added Reseller,6,,Area Bike Accessori,6,37.644481 -120.98043,220,,31,20.1865,182,2005,Sales Representative,,491,,California,6900 Sisk Road,United States,M,,Current,00:00.,1,Bancario Internazionale [it],CA,AWC Logo Tapa [es],Area Bike Accessories,00:00.,1,330-555-0120,US,Stanislaus County,,,US,287,Ito,Accessories,Q1,139397894,95353,300000,,20.1865,4,1.6149,3,,,5398597,12.0278,341,,shu0@adventure-,1,4,0,Road,United States,,27,991-555-0183,27:50.,SO43680-6,287,Modesto,dimreseller_businesstype_ja,,,,SO43680,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,FF1F-4DD0-98,,Friday,2,4,4,30000,1,04:25.,,,4,North America,491,16:27:50.000Z,23.0769,0,00:00.,566605000,,S,2005,00:00.,1,California,5332921,AWC Logo Berretto [it],2,Sales,Sport-100 Helmet,1,8,,95354,PO10730130087,,00:00.,International Bank,341,K,,AW00000491,31,00:00.
Jae B Pak,Jae,,6,15.0066,19,3,BK-R64Y-38,2008,Vancouver,6,March,1984,1,Road Bikes,F,2,2007,1,600.2625,06:36:53.000Z,605.6492,Value Added Reseller,17,,Diversi Sporting Goods,5,,381,,2,600.2625,60,2007,Sales Representative,CM ,173,,British Columbia,595 Burning Street,Canada,M,,Current,00:00.,2,Primaria Banca e Riserva [it],BC,Carretera-550-W Amarillo [es],Sundry Sporting Goods,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Bikes,Q3,668991357,,300000,600,600.2625,6,48.021,1,,,,605.6492,68,,jae0@adventure-,1,10,0,Road,Canada,,9,722-555-0169,32:12.,SO49480-17,291,,dimreseller_businesstype_ja,,,,SO49480,productname_zh_tw,,Canada,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,BA71-43B7-82,,Thursday,3,1,1,30000,1,36:53.,,,6,North America,173,19:32:12.000Z,23.0769,0,00:00.,564919000,,S,2005,00:00.,1,,,Strada-550-W Giallo [it],1,Sales,Road-550-W Yellow,1,5,LB ,V7L 4J4,PO19401115391,,00:00.,Primary Bank & Reserve,68,B,,AW00000173,2,00:00.
Linda C Mitchell,Linda,TRUE,6,1.6497,100,9,HY-1023-70,2008,Daly City,4,September,1971,2,Hydration Packs,F,32,2008,1,65.988,10:26:34.000Z,20.5663,Specialty Bike Shop,18,,Sconto Tours,7,37.682583 -122.48209,487,,32,32.994,244,2007,Sales Representative,,674,My chain broke.  I ordered a new chain.  Had to wait for a week (was told it will be mailed within two days).  Got my chain.  Woo-hoo.,California,603 Gellert Blvd,United States,M,S ,Current,00:00.,1,Sicurezza Internazionale [it],CA,,Discount Tours,00:00.,1,883-555-0116,US,San Mateo County,54.99,3,US,282,Mitchell,Accessories,Q1,191644724,94013,1000000,,65.988,4,5.279,3,4,0,5392427,41.1326,314,Versatile 70 oz hydration pack offers extra storage,linda3@adventur,1,4,0,Road,United States,,36,685-555-0117,17:32.,SO53586-18,282,Daly City,dimreseller_businesstype_ja,,,32.994,SO53586,productname_zh_tw,70,Southwest,International Sicherheit [de],dimreseller_bankname_zh_cn,37CB-4A82-96,20.5663,Saturday,2,4,4,100000,1,26:34.,Hydration Pack,,4,North America,674,19:17:32.000Z,23.0769,0,00:00.,636658000,,A,2005,00:00.,1,California,5332921,,2,Sales,Hydration Pack - 70 oz.,1,28,,94015,PO4002170204,70,00:00.,International Security,314,C,Silver,AW00000674,32,00:00.
Michael G Blythe,Michael,,5,35.2346,100,2,BK-R50B-58,2008,San Antonio,4,February,1970,3,Road Bikes,M,2,2007,1,1409.382,19:17:19.000Z,486.7066,Value Added Reseller,2,,Totes & Company Cesti,5,29.403583 -98.5063,333,,2,469.794,32,2007,Sales Representative,CM ,328,"I had mixed feelings about my experience with Garrett, or ""Varg"" as he preferred to be called.  I mean, he didn't even know the correct bike frame size to give me; he said I was a 60 when I'm clearly a 62.  Thank God for Lance Armstrong and his Livestrong site (http://www.livestrong.com/article/185328-how-to-determine-road-bike-frame-size/).Despite his obvious need for additional training, Varg was friendly with my wife and kids and did a nice job helping them pick out helmets.     ",Texas,72540 Blanco Rd.,United States,S,,Current,00:00.,2,Custode Della Banca [it],TX,Carretera-650 Negro [es],Totes & Baskets Company,00:00.,1,257-555-0154,US,Bexar County,,,US,281,Blythe,Bikes,Q3,841560125,78205,300000,200,1409.382,4,112.7506,1,,,4674023,1460.1198,591,,michael9@advent,1,2,0,Road,United States,,5,560-555-0171,25:20.,SO49099-2,281,San Antonio,dimreseller_businesstype_ja,,,,SO49099,productname_zh_tw,,Southwest,Vormund Bank [de],dimreseller_bankname_zh_cn,D567-4CCE-A4,,Thursday,3,1,1,30000,1,17:19.,,,4,North America,328,07:25:20.000Z,23.0769,0,00:00.,648481000,,S,2005,00:00.,1,Texas,4736286,Montagna-100 Argento [it],1,Sales,Road-650 Black,1,2,LB ,78204,PO15689170019,,00:00.,Guardian Bank,591,G,,AW00000328,2,00:00.
Tsvi Michael Reiter,Tsvi,,5,4.1988,100,2,HL-U509-B,2008,Charlotte,5,February,1993,8,Helmets,M,31,2008,1,167.952,07:28:48.000Z,13.0863,Value Added Reseller,11,,Sottosmalto e finitura Societ??,6,35.227192 -80.84419,222,,31,20.994,32,2008,Sales Representative,,700,,North Carolina,8520 University City Blvd,United States,M,,Current,00:00.,2,Riserva di Sicurezza [it],NC,AWC Logo Tapa [es],Underglaze and Finish Company,00:00.,1,664-555-0112,US,Mecklenburg County,,,US,285,Reiter,Accessories,Q3,716374314,28263,800000,,167.952,5,13.4362,1,,,4478884,104.6904,494,,tsvi0@adventure,1,5,0,Road,United States,,6,703-555-0158,07:00.,SO63181-11,285,Charlotte,dimreseller_businesstype_ja,,,,SO63181,productname_zh_tw,,Southeast,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,CB4E-4CF5-87,,Friday,2,4,4,80000,1,28:48.,,,5,North America,700,06:07:00.000Z,23.0769,0,00:00.,599892000,,S,2007,00:00.,1,North Carolina,4482348,AWC Logo Berretto [it],1,Sales,Sport-100 Helmet,1,11,,28202,PO2842135731,,00:00.,Reserve Security,494,Michael,,AW00000700,31,00:00.
Michael G Blythe,Michael,TRUE,4,1.8221,100,4,PD-R347,2008,Houston,4,April,1979,3,Pedals,M,13,2008,1,72.882,22:49:46.000Z,17.9776,Specialty Bike Shop,6,7/1/2007 0:00,Grasso e Olio Prodotti,3,29.749278 -95.34741,545,,13,24.294,92,2008,Sales Representative,,292,,Texas,9903 Highway 6 South,United States,S,R ,Current,00:00.,2,Primaria Banca e Riserva [it],TX,,Grease and Oil Products Company,00:00.,1,257-555-0154,US,Harris County,40.49,375,US,281,Blythe,Components,Q4,841560125,77250,1500000,,72.882,4,5.8306,2,500,1,4696376,53.9328,582,Clipless pedals - aluminum.,michael9@advent,1,2,0,Road,United States,,14,126-555-0172,20:49.,SO67318-6,281,Houston,dimreseller_businesstype_ja,Current,L ,24.294,SO67318,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,5460-4BEE-A6,17.9776,Tuesday,1,2,2,150000,1,49:46.,LL Road Pedal,189,4,North America,292,06:20:49.000Z,23.0769,0,00:00.,631863000,,A,2005,00:00.,1,Texas,4736286,,1,Sales,LL Road Pedal,1,38,G  ,77003,PO6409141464,NA,00:00.,Primary Bank & Reserve,582,G,Silver/Black,AW00000292,13,00:00.
Jae B Pak,Jae,,4,34.7999,19,1,BK-M68S-42,2008,Toronto,6,January,1980,1,Mountain Bikes,F,1,2008,1,1391.994,06:09:16.000Z,1265.6195,Warehouse,19,,Originale biciclette Supply Company,3,,355,,1,1391.994,1,2008,Sales Representative,CM ,442,,Ontario,2573 Dufferin Street,Canada,M,,Current,00:00.,2,Bancario Internazionale [it],ON,,Original Bicycle Supply Company,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Bikes,Q3,668991357,,1500000,,1391.994,6,111.3595,1,,,,1265.6195,94,,jae0@adventure-,1,10,0,Mountain,Canada,,1,185-555-0190,02:11.,SO61177-19,291,,dimreseller_businesstype_ja,,,,SO61177,productname_zh_tw,,Canada,International Bank [de],dimreseller_bankname_zh_cn,DA64-4BC0-A0,,Tuesday,1,1,1,150000,1,09:16.,,,6,North America,442,13:02:11.000Z,23.0769,0,00:00.,543175000,,Q,2005,00:00.,1,,,,1,Sales,Mountain-200 Silver,1,43,LB ,M4B 1V5,PO18473117778,,00:00.,International Bank,94,B,,AW00000442,1,00:00.
David R Campbell,David,,5,39.0409,100,8,FR-R92R-44,2007,Longview,1,August,1997,2,Road Frames,M,14,2007,1,1561.6364,02:49:18.000Z,722.2568,Value Added Reseller,18,,Certo e affidabile Sporting Goods,3,46.156082 -122.98043,242,,14,780.8182,213,2006,Sales Representative,CM ,218,Jillian was very professional and return all my calls promptly.  All of my orders were fulfilled to satisfaction and delivered on time.,Washington,7990 Ocean Beach Hwy.,United States,S,,Current,00:00.,1,Bancario Internazionale [it],WA,Deporte-100 Casco [es],Sure & Reliable Sporting Goods,00:00.,1,740-555-0182,US,Cowlitz County,,,US,289,Campbell,Components,Q1,987554265,98632,800000,200,1561.6364,1,124.9309,3,,,5791206,1444.5136,625,,david8@adventur,1,1,0,Road,United States,,31,476-555-0139,10:23.,SO47066-18,289,Longview,dimreseller_businesstype_ja,,,,SO47066,productname_zh_tw,,Northwest,International Bank [de],dimreseller_bankname_zh_cn,5E42-48DE-80,,Tuesday,3,2,2,80000,1,49:18.,,,1,North America,218,22:10:23.000Z,23.0769,0,00:00.,588065000,,S,2005,00:00.,1,Washington,5815135,Gioco-100 Casco [it],2,Sales,HL Road Frame - Red,1,17,LB ,98632,PO8816154123,,00:00.,International Bank,625,R,,AW00000218,14,00:00.
